Date,Price,Freq,Invoice,Quarter,GDP,IMOEX,RubinDolar
2013-12-16,2673.5,80,213880.0,4,2084640304803.3,1391.85,0.0304
2013-12-17,2673.5,74,197839.0,4,2083130185868.827,1407.25,0.0303
2013-12-18,2503.5714285714284,104,260371.42857142852,4,2081615888857.2595,1414.68,0.0303
2013-12-19,2589.9625,130,336695.125,4,2080097426335.912,1423.87,0.0304
2013-12-20,2302.0,108,248616.0,4,2078574810920.4976,1431.11,0.0303
2013-12-21,2371.4666666666667,126,298804.8,4,2077048055275.1309,1431.11,0.0303
2013-12-22,2512.3522727272725,111,278871.1022727273,4,2075517172112.3264,1431.11,0.0303
2013-12-23,2382.375,96,228708.0,4,2073982174192.998,1429.91,0.0303
2013-12-24,2355.75,113,266199.75,4,2072443074326.462,1453.1,0.0306
2013-12-25,2498.857142857143,110,274874.2857142857,4,2070899885370.433,1454.02,0.0306
2013-12-26,2359.061111111111,118,278369.2111111111,4,2069352620231.028,1447.5,0.0306
2013-12-27,2296.0,122,280112.0,4,2067801291862.7612,1448.29,0.0306
2013-12-28,2403.86025641,166,399040.80256406,4,2066245913268.5503,1448.29,0.0306
2013-12-29,2311.1666666666665,141,325874.5,4,2064686497499.712,1448.29,0.0306
2013-12-30,2340.65,144,337053.60000000003,4,2063123057655.9624,1445.39,0.0306
2013-12-31,2493.8722222222227,145,361611.47222222225,4,2061555606885.4197,1445.39,0.0305
2014-01-01,2599.0,31,80569.0,1,2059984158384.6008,1445.39,0.0304
2014-01-02,2287.0,97,221839.0,1,2058408725398.424,1445.39,0.0304
2014-01-03,2449.333333333333,75,183700.0,1,2056829321220.2068,1445.39,0.0302
2014-01-04,2311.1666666666665,81,187204.5,1,2055245959191.669,1445.39,0.0302
2014-01-05,2359.0,79,186361.0,1,2053658652702.9285,1445.39,0.0302
2014-01-06,2493.357142857143,61,152094.7857142857,1,2052067415192.505,1442.73,0.0301
2014-01-07,2349.0,46,108054.0,1,2050472260147.3171,1442.73,0.0301
2014-01-08,2366.214285714286,64,151437.7142857143,1,2048873201102.6855,1388.28,0.0302
2014-01-09,2436.777777777778,45,109655.0,1,2047270251642.3303,1390.35,0.0302
2014-01-10,2694.0,43,115842.0,1,2045663425398.3708,1388.86,0.0301
2014-01-11,2799.0,52,145548.0,1,2044052736051.329,1388.86,0.0301
2014-01-12,2519.142857142857,45,113361.42857142858,1,2042438197330.1252,1388.86,0.0301
2014-01-13,2573.6,37,95223.2,1,2040819823012.0813,1395.91,0.0302
2014-01-14,2617.25,38,99455.5,1,2039197626922.9182,1401.82,0.03
2014-01-15,2577.75,33,85065.75,1,2037571622936.7576,1388.69,0.03
2014-01-16,2600.2,68,176813.59999999995,1,2035941824976.123,1401.78,0.0299
2014-01-17,2699.0,59,159241.0,1,2034308247011.936,1397.23,0.0299
2014-01-18,2673.5,74,197839.0,1,2032670903063.5195,1397.23,0.0299
2014-01-19,2493.6,58,144628.8,1,2031029807198.5967,1397.23,0.0299
2014-01-20,2370.75,32,75864.0,1,2029384973533.292,1395.79,0.0297
2014-01-21,2699.0,45,121455.0,1,2027736416232.1284,1394.49,0.0296
2014-01-22,2435.333333333333,49,119331.33333333336,1,2026084149508.0295,1395.87,0.0294
2014-01-23,2624.2,41,107592.2,1,2024428187622.321,1391.75,0.0294
2014-01-24,2483.714285714286,55,136604.2857142857,1,2022768544884.7263,1381.59,0.0293
2014-01-25,2528.9944444444445,73,184616.5944444445,1,2021105235653.372,1381.59,0.0293
2014-01-26,2559.0,54,138186.0,1,2019438274334.7815,1381.59,0.0293
2014-01-27,2799.0,33,92367.0,1,2017767675383.8823,1364.11,0.029
2014-01-28,2799.0,32,89568.0,1,2016093453303.999,1346.51,0.0288
2014-01-29,2599.0,37,96163.0,1,2014415622646.8591,1332.51,0.0289
2014-01-30,2699.0,42,113358.0,1,2012734198012.5881,1308.0,0.0285
2014-01-31,2799.0,51,142749.0,1,2011049194049.713,1320.9,0.0286
2014-02-01,2599.0,59,153341.0,1,2009360625455.1616,1320.9,0.0286
2014-02-02,2515.333333333333,51,128282.0,1,2007668506974.2617,1320.9,0.0286
2014-02-03,2139.0,32,68448.0,1,2005972853400.74,1301.02,0.0284
2014-02-04,1939.0,45,87255.0,1,2004273679576.7256,1293.2,0.0282
2014-02-05,2330.466666667,97,226055.266666699,1,2002571000392.7463,1291.82,0.0285
2014-02-06,2074.9,98,203340.2,1,2000864830787.7317,1317.5,0.0287
2014-02-07,2396.619047618572,86,206109.2380951972,1,1999155185749.0095,1330.28,0.0288
2014-02-08,2335.033333333,138,322234.599999954,1,1997442080312.3103,1330.28,0.0288
2014-02-09,2351.857142857143,98,230482.0,1,1995725529561.764,1330.28,0.0288
2014-02-10,2170.8208683476473,94,204057.1616246788,1,1994005548629.8992,1341.49,0.0288
2014-02-11,2040.1708887605264,91,185655.5508772079,1,1992282152697.647,1336.02,0.0288
2014-02-12,2079.404761905,87,180908.214285735,1,1990555356994.3384,1341.85,0.0288
2014-02-13,2007.72745098,85,170656.83333330002,1,1988825176797.704,1353.17,0.0287
2014-02-14,2097.769230769231,106,222363.53846153847,1,1987091627433.8745,1321.61,0.0285
2014-02-15,2029.5,134,271953.0,1,1985354724277.3818,1321.61,0.0285
2014-02-16,2141.8571428571427,81,173490.42857142855,1,1983614482751.1587,1321.61,0.0285
2014-02-17,2196.0,78,171288.0,1,1981870918326.536,1343.2,0.0285
2014-02-18,2014.5,72,145044.0,1,1980124046523.2468,1347.76,0.0284
2014-02-19,2227.0,109,242743.0,1,1978373882909.424,1342.46,0.0282
2014-02-20,2166.047619047643,104,225268.95238095487,1,1976620443101.6008,1300.41,0.0279
2014-02-21,2224.1515151518183,163,362536.6969697464,1,1974863742764.71,1305.88,0.028
2014-02-22,2037.0,170,346290.0,1,1973103797612.0852,1305.88,0.028
2014-02-23,2221.5454545454545,132,293244.0,1,1971340623405.4617,1305.88,0.028
2014-02-24,2214.3,69,152786.7,1,1969574235954.973,1315.56,0.0281
2014-02-25,2229.3076923076924,83,185032.53846153847,1,1967804651119.153,1321.31,0.0281
2014-02-26,2198.275,82,180258.55,1,1966031884804.9382,1306.9,0.028
2014-02-27,2211.25,86,190167.5,1,1964255952967.6624,1285.83,0.0277
2014-02-28,2210.0,97,214370.0,1,1962476871611.0625,1262.91,0.0278
2014-03-01,2139.5,130,278135.0,1,1960694656787.2732,1262.91,0.0278
2014-03-02,2206.75,94,207434.5,1,1958909324596.8318,1262.91,0.0278
2014-03-03,2149.0,76,163324.0,1,1957120891188.6743,1239.77,0.0273
2014-03-04,2104.6666666666665,66,138908.0,1,1955329372760.1367,1121.68,0.0274
2014-03-05,2315.641666666667,60,138938.5,1,1953534785556.958,1188.19,0.0277
2014-03-06,2169.125,82,177868.25,1,1951737145873.2744,1182.74,0.0277
2014-03-07,1877.25,78,146425.5,1,1949936470051.6235,1163.07,0.0276
2014-03-08,2154.0,97,208938.0,1,1948132774482.9436,1163.07,0.0276
2014-03-09,2180.5714285714284,100,218057.14285714284,1,1946326075606.5732,1163.07,0.0276
2014-03-10,2198.6666666666665,70,153906.66666666663,1,1944516389910.2507,1163.07,0.0275
2014-03-11,2166.5,40,86660.0,1,1942703733930.116,1153.57,0.0275
2014-03-12,2217.8975,50,110894.875,1,1940888124250.7068,1126.91,0.0274
2014-03-13,2190.0,46,100740.0,1,1939069577504.9644,1104.49,0.0274
2014-03-14,2190.0,50,109500.0,1,1937248110374.2275,1064.19,0.0273
2014-03-15,2223.9625,75,166797.1875,1,1935423739588.2368,1064.19,0.0273
2014-03-16,2161.1666666666665,65,140475.8333333333,1,1933596481925.1328,1064.19,0.0273
2014-03-17,2179.0,37,80623.0,1,1931766354211.4563,1070.41,0.0273
2014-03-18,2372.7450980394115,51,121010.00000000998,1,1929933373322.1484,1121.6,0.0275
2014-03-19,2558.927170868235,74,189360.61064424942,1,1928097556180.551,1160.78,0.0276
2014-03-20,2106.600565950811,99,208553.45602913032,1,1926258919758.4053,1142.8,0.0276
2014-03-21,2691.134904626734,246,662019.1865381766,1,1924417481075.854,1127.52,0.0275
2014-03-22,2488.388246756271,230,572329.2967539423,1,1922573257201.4387,1127.52,0.0275
2014-03-23,2446.0616802551613,155,379139.56043955,1,1920726265252.1028,1127.52,0.0275
2014-03-24,2392.0432098766664,118,282261.09876544663,1,1918876522393.189,1135.11,0.0276
2014-03-25,2445.333333333333,112,273877.3333333334,1,1917024045838.4404,1135.07,0.0277
2014-03-26,2585.3257142856,121,312824.4114285576,1,1915168852850.0007,1176.45,0.0282
2014-03-27,2290.822222222,96,219918.933333312,1,1913310960738.4155,1193.48,0.0281
2014-03-28,2686.535714285714,94,252534.35714285716,1,1911450386862.6265,1180.51,0.0281
2014-03-29,2631.083333333333,112,294681.3333333334,1,1909587148629.9795,1180.51,0.0281
2014-03-30,2612.6666666666665,87,227302.0,1,1907721263496.2192,1180.51,0.0281
2014-03-31,2551.884375,66,168424.36875,1,1905852748965.491,1187.6,0.028
2014-04-01,2674.2424242427273,57,152431.81818183544,2,1903981622590.3403,1227.13,0.0285
2014-04-02,2524.994505494286,61,154024.66483515146,2,1902107901971.7131,1236.5,0.0285
2014-04-03,2533.466666667,66,167208.800000022,2,1900231604758.9548,1222.93,0.0282
2014-04-04,2537.8888888888887,62,157349.1111111111,2,1898352748649.8125,1213.09,0.0281
2014-04-05,2483.583333333333,115,285612.0833333334,2,1896471351390.4329,1213.09,0.0281
2014-04-06,2444.222222222222,62,151541.77777777778,2,1894587430775.3623,1213.09,0.0281
2014-04-07,2615.411111111111,45,117693.5,2,1892701004647.5493,1225.49,0.0283
2014-04-08,2535.5,51,129310.5,2,1890812090898.3408,1194.48,0.0281
2014-04-09,2516.0,49,123284.0,2,1888920707467.4849,1195.8,0.028
2014-04-10,2594.555555555556,58,150484.22222222222,2,1887026872343.1296,1196.25,0.0281
2014-04-11,2474.7090909090907,67,165805.50909090904,2,1885130603561.824,1199.5,0.0281
2014-04-12,2651.555555555556,90,238640.0,2,1883231919208.5168,1199.5,0.0281
2014-04-13,2472.2,77,190359.4,2,1881330837416.557,1199.5,0.0281
2014-04-14,2641.5714285714284,47,124153.85714285713,2,1879427376367.6943,1200.22,0.028
2014-04-15,2506.444444444445,54,135348.0,2,1877521554292.0789,1175.54,0.0278
2014-04-16,2387.927272727273,48,114620.50909090911,2,1875613389468.2605,1146.26,0.0276
2014-04-17,2665.6666666666665,43,114623.66666666664,2,1873702900223.1892,1157.59,0.0277
2014-04-18,2389.5714285714284,61,145763.85714285713,2,1871790104932.2168,1194.11,0.0282
2014-04-19,2571.0,72,185112.0,2,1869875022019.0935,1194.11,0.0282
2014-04-20,2586.5,69,178468.5,2,1867957669955.9717,1194.11,0.0282
2014-04-21,2476.25,48,118860.0,2,1866038067263.4016,1200.44,0.0281
2014-04-22,2599.0,41,106559.0,2,1864116232510.336,1186.1,0.028
2014-04-23,2347.8888888888887,64,150264.88888888888,2,1862192184314.1277,1178.02,0.028
2014-04-24,2361.0,55,129855.0,2,1860265941340.5288,1174.52,0.028
2014-04-25,2399.0,47,112753.0,2,1858337522303.692,1140.62,0.0279
2014-04-26,2513.765000000001,82,206128.73000000004,2,1856406945966.1704,1140.62,0.0279
2014-04-27,2615.6666666666665,76,198790.66666666663,2,1854474231138.9185,1140.62,0.0279
2014-04-28,2489.285714285714,52,129442.85714285714,2,1852539396681.2896,1114.95,0.0278
2014-04-29,2413.125,46,111003.75,2,1850602461501.038,1149.48,0.0279
2014-04-30,2570.428571428572,57,146514.42857142858,2,1848663444554.3176,1153.87,0.028
2014-05-01,2380.125,63,149947.875,2,1846722364845.6848,1153.87,0.0281
2014-05-02,2517.5875,57,143502.48750000002,2,1844779241428.0923,1151.7,0.0281
2014-05-03,2341.0,65,152165.0,2,1842834093402.8977,1151.7,0.0281
2014-05-04,2570.3857142857146,46,118237.74285714288,2,1840886939919.8557,1151.7,0.0281
2014-05-05,2618.6,44,115218.4,2,1838937800177.1223,1144.18,0.0278
2014-05-06,2398.7,45,107941.5,2,1836986693421.2544,1144.86,0.028
2014-05-07,2499.0,51,127449.0,2,1835033638947.208,1169.58,0.0282
2014-05-08,2567.9,49,125827.1,2,1833078656098.34,1230.0,0.0286
2014-05-09,2321.818181818182,49,113769.09090909091,2,1831121764266.4084,1230.0,0.0285
2014-05-10,2605.928571428572,50,130296.42857142858,2,1829162982891.5703,1230.0,0.0285
2014-05-11,2413.0,51,123063.0,2,1827202331462.384,1230.0,0.0285
2014-05-12,2559.0,32,81888.0,2,1825239829515.8071,1233.72,0.0284
2014-05-13,2467.625,34,83899.25,2,1823275496637.1985,1234.89,0.0285
2014-05-14,2316.525,31,71812.27500000001,2,1821309352460.317,1254.24,0.0287
2014-05-15,2467.625,38,93769.75,2,1819341416667.3215,1262.4,0.0288
2014-05-16,2549.0,50,127450.0,2,1817371708988.772,1250.06,0.0287
2014-05-17,2448.6666666666665,74,181201.33333333328,2,1815400249203.628,1250.06,0.0287
2014-05-18,2358.75,71,167471.25,2,1813427057139.2488,1250.06,0.0287
2014-05-19,2499.0,27,67473.0,2,1811452152671.396,1262.65,0.0288
2014-05-20,2796.629164313913,72,201357.29983060173,2,1809475555724.2288,1291.52,0.0289
2014-05-21,2675.42,63,168551.46,2,1807497286270.31,1298.99,0.029
2014-05-22,2740.208333333333,56,153451.6666666667,2,1805517364330.6,1322.17,0.0291
2014-05-23,2632.875,66,173769.75,2,1803535809974.46,1311.57,0.0291
2014-05-24,2697.75,85,229308.75,2,1801552643319.6528,1311.57,0.0291
2014-05-25,2551.4,68,173495.2,2,1799567884532.34,1311.57,0.0291
2014-05-26,2498.833333333333,48,119944.0,2,1797581553827.0842,1328.43,0.0293
2014-05-27,3134.8676929730555,128,401263.0647005511,2,1795593671466.8486,1335.11,0.0292
2014-05-28,3021.2225000000008,106,320249.585,2,1793604257762.9958,1297.94,0.029
2014-05-29,3379.818181818182,98,331222.1818181818,2,1791613333075.29,1301.89,0.0289
2014-05-30,2871.230769230769,97,278509.3846153846,2,1789620917811.8943,1315.41,0.0288
2014-05-31,2743.428571428572,112,307264.0,2,1787627032429.3735,1315.41,0.0288
2014-06-01,2617.2625000000007,101,264343.5125,2,1785631697432.6914,1315.41,0.0288
2014-06-02,2773.043333333333,85,235708.6833333333,2,1783634933375.2131,1297.61,0.0286
2014-06-03,2931.2115384615386,68,199322.38461538465,2,1781636760858.7031,1318.05,0.0285
2014-06-04,3155.4,61,192479.4,2,1779637200533.3271,1321.1,0.0285
2014-06-05,3036.3,63,191286.9,2,1777636273097.6511,1326.28,0.0286
2014-06-06,3103.0,67,207901.0,2,1775633999298.6404,1337.26,0.0288
2014-06-07,2609.0,115,300035.0,2,1773630399931.6616,1337.26,0.0288
2014-06-08,2721.188888888889,89,242185.8111111111,2,1771625495840.4812,1337.26,0.0288
2014-06-09,2501.5,79,197618.5,2,1769619307917.2659,1359.1,0.029
2014-06-10,2668.9,94,250876.6,2,1767611857102.5835,1363.31,0.0291
2014-06-11,3085.625,85,262278.125,2,1765603164385.401,1367.25,0.0291
2014-06-12,2665.8,92,245253.6,2,1763593250803.086,1367.25,0.0291
2014-06-13,2496.4566666666665,106,264624.4066666666,2,1761582137441.4072,1367.25,0.0291
2014-06-14,2662.3,64,170387.2,2,1759569845434.5327,1367.25,0.0291
2014-06-15,2552.333333333333,68,173558.6666666667,2,1757556395965.0315,1367.25,0.0291
2014-06-16,2499.0,60,149940.0,2,1755541810263.8723,1356.75,0.029
2014-06-17,2390.2727272727275,79,188831.54545454547,2,1753526109610.4246,1357.67,0.0289
2014-06-18,2655.835714285714,61,162005.97857142857,2,1751509315332.458,1344.82,0.0287
2014-06-19,2586.0,70,181020.0,2,1749491448806.143,1372.98,0.0291
2014-06-20,2483.1111111111113,73,181267.11111111112,2,1747472531456.0493,1368.13,0.0291
2014-06-21,2471.107142857143,94,232284.07142857145,2,1745452584755.1477,1368.13,0.0291
2014-06-22,2499.0,77,192423.0,2,1743431630224.8088,1368.13,0.0291
2014-06-23,2532.0,61,154452.0,2,1741409689434.8042,1361.28,0.029
2014-06-24,2648.785714285714,62,164224.7142857143,2,1739386784003.3057,1373.57,0.0293
2014-06-25,2479.555555555556,58,143814.22222222222,2,1737362935596.8848,1412.76,0.0296
2014-06-26,2622.7403409091667,80,209819.22727273335,2,1735338165930.5132,1385.31,0.0296
2014-06-27,2445.444444444445,100,244544.44444444447,2,1733312496767.564,1378.96,0.0296
2014-06-28,2555.386666667,112,286203.306666704,2,1731285949919.81,1378.96,0.0296
2014-06-29,2399.3,112,268721.60000000003,2,1729258547247.4238,1378.96,0.0296
2014-06-30,2580.285714285714,73,188360.85714285716,2,1727230310658.9795,1379.94,0.0296
2014-07-01,2333.45833333375,60,140007.500000025,3,1725201262111.45,1361.47,0.0294
2014-07-02,2447.375,75,183553.125,3,1723171423610.2097,1361.53,0.0291
2014-07-03,2297.2,82,188370.4,3,1721140817209.0327,1391.47,0.0292
2014-07-04,2411.34,78,188084.52,3,1719109465010.0942,1389.7,0.0291
2014-07-05,2250.5,93,209296.5,3,1717077389163.9688,1389.7,0.0291
2014-07-06,2353.75,76,178885.0,3,1715044611869.6316,1389.7,0.0291
2014-07-07,2444.714285714286,72,176019.42857142858,3,1713011155374.4585,1359.0,0.0291
2014-07-08,2492.5625,59,147061.1875,3,1710977041974.2246,1383.4,0.029
2014-07-09,2502.0,63,157626.0,3,1708942294013.1074,1391.66,0.0292
2014-07-10,2305.428571428572,59,136020.2857142857,3,1706906933883.682,1408.89,0.0295
2014-07-11,2453.3,73,179090.90000000005,3,1704870984026.9265,1384.09,0.0294
2014-07-12,2309.438461538461,99,228634.4076923077,3,1702834466932.2168,1384.09,0.0294
2014-07-13,2382.222222222222,64,152462.22222222222,3,1700797405137.331,1384.09,0.0294
2014-07-14,2279.222222222222,52,118519.55555555555,3,1698759821228.4468,1379.34,0.0292
2014-07-15,2317.6588888888887,63,146012.51,3,1696721737840.1418,1358.05,0.0291
2014-07-16,2409.8888888888887,55,132543.88888888888,3,1694683177655.3955,1342.78,0.0291
2014-07-17,2393.444444444445,55,131639.44444444447,3,1692644163405.585,1336.93,0.0289
2014-07-18,2352.714285714286,61,143515.57142857142,3,1690604717870.4907,1278.39,0.0283
2014-07-19,2325.5,86,199993.0,3,1688564863878.2908,1278.39,0.0283
2014-07-20,2423.833333333333,54,130887.0,3,1686524624305.5654,1278.39,0.0283
2014-07-21,2499.0,62,154938.0,3,1684484022077.2944,1277.51,0.0284
2014-07-22,2351.077777777778,60,141064.6666666667,3,1682443080166.8582,1244.64,0.0284
2014-07-23,2279.9,50,113995.0,3,1680401821596.0364,1268.31,0.0286
2014-07-24,2693.333333333333,54,145440.0,3,1678360269435.0107,1269.11,0.0287
2014-07-25,2433.714285714286,59,143589.14285714287,3,1676318446802.3623,1264.35,0.0285
2014-07-26,2340.95,86,201321.7,3,1674276376865.0718,1264.35,0.0285
2014-07-27,2279.0714285714284,87,198279.21428571426,3,1672234082838.5225,1264.35,0.0285
2014-07-28,2749.0,44,120956.0,3,1670191587986.4946,1242.71,0.0284
2014-07-29,2296.25,68,156145.0,3,1668148915621.172,1208.66,0.0281
2014-07-30,2288.817795508236,119,272369.31766548,3,1666106089103.1365,1202.22,0.0279
2014-07-31,2315.593253967778,108,250084.07142852,3,1664063131841.3716,1223.6,0.0281
2014-08-01,2263.15,85,192367.75,3,1662020067293.2605,1215.63,0.028
2014-08-02,2222.4,124,275577.60000000003,3,1659976918964.586,1215.63,0.028
2014-08-03,2227.7392857142854,92,204952.01428571425,3,1657933710409.5332,1215.63,0.028
2014-08-04,2321.6466666666665,98,227521.3733333333,3,1655890465230.686,1213.8,0.028
2014-08-05,2341.85,83,194373.55,3,1653847207079.0288,1213.28,0.0279
2014-08-06,2313.1111111111113,81,187362.00000000003,3,1651803959653.9463,1189.72,0.0277
2014-08-07,2316.1111111111113,75,173708.33333333337,3,1649760746703.224,1158.06,0.0276
2014-08-08,2382.875,95,226373.125,3,1647717592023.0474,1156.95,0.0275
2014-08-09,2263.15,100,226315.0,3,1645674519458.002,1156.95,0.0275
2014-08-10,2377.555555555556,96,228245.33333333328,3,1643631552901.0742,1156.95,0.0275
2014-08-11,2410.577777777778,75,180793.3333333333,3,1641588716293.65,1181.7,0.0276
2014-08-12,2313.285714285714,82,189689.42857142855,3,1639546033625.5166,1203.82,0.0278
2014-08-13,2217.2727272727275,79,175164.54545454547,3,1637503528934.8608,1198.58,0.0276
2014-08-14,2288.222222222222,73,167040.22222222222,3,1635461226308.27,1221.23,0.0278
2014-08-15,2249.625,91,204715.875,3,1633419149880.732,1231.42,0.0277
2014-08-16,2257.6,103,232532.8,3,1631377323835.6345,1231.42,0.0277
2014-08-17,2253.154545454545,101,227568.6090909091,3,1629335772404.7651,1231.42,0.0277
2014-08-18,2268.6,96,217785.6,3,1627294519868.3137,1233.54,0.0277
2014-08-19,2688.119323661352,132,354831.75072329846,3,1625253590554.869,1244.83,0.0277
2014-08-20,2642.9243697476472,114,301293.3781512318,3,1623213008841.419,1251.23,0.0276
2014-08-21,2484.8636363636365,115,285759.3181818182,3,1621172799153.3545,1256.76,0.0275
2014-08-22,2552.9772727275,120,306357.27272729995,3,1619132985964.4648,1275.73,0.0278
2014-08-23,2491.172222222,140,348764.11111107987,3,1617093593796.94,1275.73,0.0278
2014-08-24,2270.178571428572,103,233828.3928571429,3,1615054647221.3706,1275.73,0.0278
2014-08-25,2262.260416666875,125,282782.5520833594,3,1613016170856.7476,1260.49,0.0277
2014-08-26,2280.6488888886665,103,234906.83555553266,3,1610978189370.4614,1267.87,0.0277
2014-08-27,2168.3541666668752,108,234182.2500000225,3,1608940727478.3042,1262.88,0.0277
2014-08-28,2172.419444444167,98,212897.10555552837,3,1606903809944.4673,1259.75,0.0276
2014-08-29,2207.6666666666665,128,282581.33333333326,3,1604867461581.5422,1218.15,0.0272
2014-08-30,2242.8888888891665,118,264660.88888892165,3,1602831707250.5222,1218.15,0.0272
2014-08-31,2318.181818181818,99,229500.0,3,1600796571860.7988,1218.15,0.0272
2014-09-01,2176.8888888891665,63,137144.0000000175,3,1598762080370.166,1192.82,0.027000000000000003
2014-09-02,2256.3416666666667,72,162456.6,3,1596728257784.8164,1177.93,0.0268
2014-09-03,2126.875,69,146754.375,3,1594695129159.3438,1179.45,0.0267
2014-09-04,2127.461038960714,71,151049.7337662107,3,1592662719596.7417,1241.01,0.0271
2014-09-05,2205.9666666666667,86,189713.13333333333,3,1590631054248.4043,1237.33,0.027000000000000003
2014-09-06,2036.333333333125,123,250468.99999997442,3,1588600158314.1265,1237.33,0.027000000000000003
2014-09-07,2129.78,99,210848.22000000003,3,1586570057042.103,1237.33,0.027000000000000003
2014-09-08,2069.3958333331248,67,138649.52083331934,3,1584540775728.9282,1254.74,0.0271
2014-09-09,2128.0212962961114,91,193649.9379629461,3,1582512339719.5986,1246.51,0.027000000000000003
2014-09-10,1686.2898741884687,148,249570.90137989336,3,1580484774407.5088,1243.64,0.0269
2014-09-11,2217.6998462516904,196,434669.1698653313,3,1578458105234.4556,1242.7,0.0268
2014-09-12,1988.5548187444824,182,361916.9770114959,3,1576432357690.6353,1217.71,0.0266
2014-09-13,2014.56388888875,190,382767.1388888625,3,1574407557314.644,1217.71,0.0266
2014-09-14,1954.425,174,340069.95,3,1572383729693.479,1217.71,0.0266
2014-09-15,2214.905128205,134,296797.28717947,3,1570360900462.5376,1212.35,0.0265
2014-09-16,2716.6875,140,380336.25,3,1568339095305.6172,1195.32,0.0261
2014-09-17,2698.188405796957,124,334575.36231882265,3,1566318339954.916,1199.65,0.0261
2014-09-18,2778.25,91,252820.75,3,1564298660191.0315,1189.83,0.0259
2014-09-19,2492.3818181818187,117,291608.67272727273,3,1562280081842.9631,1188.64,0.026
2014-09-20,2946.230769230769,129,380063.7692307692,3,1560262630788.1091,1188.64,0.026
2014-09-21,2682.0,126,337932.0,3,1558246332952.2688,1188.64,0.026
2014-09-22,3178.7058823529414,100,317870.5882352941,3,1556231214309.6414,1168.37,0.026
2014-09-23,2978.072320841539,131,390127.47403024154,3,1554217300882.8264,1152.78,0.0258
2014-09-24,2526.408424908846,143,361276.404761965,3,1552204618742.8247,1168.03,0.0259
2014-09-25,2940.339271095882,154,452812.2477487658,3,1550193194009.036,1191.45,0.0262
2014-09-26,2738.7935606062506,151,413557.82765154383,3,1548183052849.2612,1171.83,0.026
2014-09-27,2740.714285714166,179,490587.8571428357,3,1546174221479.7012,1171.83,0.026
2014-09-28,2219.9313725488228,140,310790.39215683524,3,1544166726164.9573,1171.83,0.026
2014-09-29,2805.0196078429412,99,277696.9411764512,3,1542160593218.0308,1159.06,0.0255
2014-09-30,2681.4375,113,303002.4375,3,1540155849000.3242,1127.95,0.0253
2014-10-01,2100.3476923076923,87,182730.24923076926,4,1538152519921.6394,1122.39,0.0253
2014-10-02,2203.218823529412,116,255573.3835294118,4,1536150632440.1792,1111.62,0.0252
2014-10-03,1888.3639619048001,148,279477.8663619104,4,1534150213062.5457,1093.23,0.0253
2014-10-04,2165.513268697895,186,402785.4679778085,4,1532151288343.7432,1093.23,0.0253
2014-10-05,2169.6424,177,384026.7048,4,1530153884887.1738,1093.23,0.0253
2014-10-06,2564.891981930869,96,246229.63026536343,4,1528158029344.6423,1096.3,0.025
2014-10-07,2392.8872917410713,111,265610.4893832589,4,1526163748416.3523,1120.43,0.0252
2014-10-08,2358.464265706429,157,370278.8897159093,4,1524171068850.9084,1102.63,0.025
2014-10-09,2800.358639455714,130,364046.6231292429,4,1522180017445.3157,1092.15,0.025
2014-10-10,2410.558699187073,186,448363.9180487956,4,1520190621044.978,1081.44,0.0249
